,Train_acc,Train_prec,Train_recall,Train_fscore,Test_acc,Test_prec,Test_recall,Test_fscore,Model,Model_version
0,0.9998588135633103,0.9998823390987175,0.9998352824905288,0.9998588102409639,0.9494825469215927,0.7516014234875444,0.5680473372781065,0.6470588235294118,rf,smo_tl
0,0.9998588368153586,0.9998118001317399,0.999905891210239,0.9998588434573942,0.9496579547447817,0.7581699346405228,0.5615922538999462,0.6452410383189122,rf,smote
0,0.9998588135633103,0.9998823390987175,0.9998352824905288,0.9998588102409639,0.9498333625679706,0.7581227436823105,0.5648197955890264,0.6473489519112208,rf,smo_tl_no_RFE_ITEM_CONUT_
0,0.9998588368153586,0.9998118001317399,0.999905891210239,0.9998588434573942,0.9503595860375372,0.7620764239365537,0.5685852608929532,0.6512630930375847,rf,smote_no_RFE_ITEM_CONUT_
0,0.9998588135633103,0.9998823390987175,0.9998352824905288,0.9998588102409639,0.9498333625679706,0.7577505407354002,0.565357719203873,0.6475662353666051,rf,smo_tl_no_RFE_QUANTITY_5_
0,0.9998588368153586,0.99983531736696,0.9998823640127988,0.9998588401364545,0.9494386949657955,0.75,0.5696611081226466,0.647508407214919,rf,smote_no_RFE_QUANTITY_5_
0,0.9998588135633103,0.9998823390987175,0.9998352824905288,0.9998588102409639,0.9490001754078232,0.751808972503618,0.5589026358257128,0.6411601357605676,rf,smo_tl_no_RFE_QUANTITY_4_
0,0.9998588368153586,0.9998118001317399,0.999905891210239,0.9998588434573942,0.9498772145237677,0.7575539568345324,0.5664335664335665,0.6481994459833795,rf,smote_no_RFE_QUANTITY_4_
0,0.9998588368153586,0.9998118001317399,0.999905891210239,0.9998588434573942,0.9496141027889844,0.7532097004279601,0.5680473372781065,0.6476540938362465,rf,smote_no_RFE_ITEM_CONUT_RFE_QUANTITY_4_
0,0.9998588135633103,0.9998823390987175,0.9998352824905288,0.9998588102409639,0.9497456586563761,0.7551896921975663,0.5675094136632598,0.6480343980343981,rf,smo_tl_no_RFE_ITEM_CONUT_RFE_QUANTITY_4_
0,0.9998588368153586,0.9998118001317399,0.999905891210239,0.9998588434573942,0.9496141027889844,0.7532097004279601,0.5680473372781065,0.6476540938362465,rf,smote_no_RFE_ITEM_CONUT_RFE_QUANTITY_4_
0,0.9998588135633103,0.9998823390987175,0.9998352824905288,0.9998588102409639,0.9497456586563761,0.7551896921975663,0.5675094136632598,0.6480343980343981,rf,smo_tl_no_RFE_ITEM_CONUT_RFE_QUANTITY_4_
